,datetime,rain,temp,pressure,humidity,wind_speed,wind_dir,sun,visibility,cloud_height,cloud_cover
245448,2018-01-01 00:00:00,0.0,4.5,6.8,6,23,240,0.0,16000,168,7
245449,2018-01-01 01:00:00,0.0,4.4,7.0,7,25,240,0.0,20000,250,5
245450,2018-01-01 02:00:00,0.0,4.6,7.0,7,23,240,0.0,20000,999,3
245451,2018-01-01 03:00:00,0.0,4.6,7.1,7,24,240,0.0,30000,999,4
245452,2018-01-01 04:00:00,0.0,5.1,7.2,7,21,240,0.0,25000,999,4
245453,2018-01-01 05:00:00,0.0,5.0,6.9,6,21,240,0.0,25000,230,6
245454,2018-01-01 06:00:00,0.0,4.8,7.1,7,15,230,0.0,30000,180,7
245455,2018-01-01 07:00:00,0.0,4.3,7.1,7,12,230,0.0,30000,160,7
245456,2018-01-01 08:00:00,0.0,4.0,7.0,7,12,230,0.0,30000,170,7
245457,2018-01-01 09:00:00,0.0,4.6,7.1,7,14,240,0.2,30000,999,3
245458,2018-01-01 10:00:00,0.0,5.3,7.2,7,17,240,0.9,30000,200,4
245459,2018-01-01 11:00:00,0.0,6.3,7.7,7,22,250,0.5,30000,200,4
245460,2018-01-01 12:00:00,0.0,7.1,7.6,7,26,260,0.3,30000,24,6
245461,2018-01-01 13:00:00,0.4,6.5,8.1,8,25,280,0.0,7000,18,7
245462,2018-01-01 14:00:00,0.1,6.2,7.8,7,25,280,0.6,30000,30,4
245463,2018-01-01 15:00:00,0.1,6.2,8.2,8,22,280,0.0,30000,20,5
245464,2018-01-01 16:00:00,0.0,6.1,7.6,7,21,280,0.2,30000,20,5
245465,2018-01-01 17:00:00,0.0,5.4,7.3,7,18,280,0.0,30000,999,2
245466,2018-01-01 18:00:00,0.0,5.1,7.4,7,14,280,0.0,30000,999,2
245467,2018-01-01 19:00:00,0.0,5.3,7.5,7,14,270,0.0,30000,999,3
245468,2018-01-01 20:00:00,0.0,4.7,6.8,6,16,270,0.0,30000,999,3
245469,2018-01-01 21:00:00,0.0,4.2,6.6,6,16,260,0.0,30000,999,3
245470,2018-01-01 22:00:00,0.0,3.4,6.2,6,16,260,0.0,30000,999,3
245471,2018-01-01 23:00:00,0.0,3.4,6.3,6,14,260,0.0,30000,999,3
245472,2018-01-02 00:00:00,0.0,3.7,6.2,6,12,240,0.0,30000,999,3
245473,2018-01-02 01:00:00,0.0,4.1,6.0,6,11,240,0.0,30000,150,6
245474,2018-01-02 02:00:00,0.0,4.3,6.3,6,9,240,0.0,30000,130,6
245475,2018-01-02 03:00:00,0.0,3.7,6.4,6,6,200,0.0,30000,120,6
245476,2018-01-02 04:00:00,0.0,4.2,6.2,6,5,170,0.0,30000,110,6
245477,2018-01-02 05:00:00,0.0,5.3,6.4,6,9,150,0.0,30000,70,7
245478,2018-01-02 06:00:00,0.3,5.0,7.2,7,8,150,0.0,20000,50,7
245479,2018-01-02 07:00:00,1.9,5.6,8.2,8,9,160,0.0,15000,32,7
245480,2018-01-02 08:00:00,0.3,6.8,8.9,8,11,150,0.0,20000,35,7
245481,2018-01-02 09:00:00,0.6,8.6,10.1,10,13,210,0.0,7000,20,8
245482,2018-01-02 10:00:00,0.0,8.8,9.9,9,20,230,0.2,25000,34,4
245483,2018-01-02 11:00:00,0.0,9.3,10.0,10,20,240,0.2,20000,50,6
245484,2018-01-02 12:00:00,0.0,9.7,9.5,9,21,250,0.4,17000,22,6
245485,2018-01-02 13:00:00,0.0,9.8,9.4,9,22,240,0.0,17000,22,6
245486,2018-01-02 14:00:00,0.0,9.4,9.4,9,19,240,0.0,17000,45,8
245487,2018-01-02 15:00:00,0.4,8.6,9.6,9,17,230,0.0,10000,50,8
245488,2018-01-02 16:00:00,1.5,7.9,9.7,9,13,220,0.0,10000,50,8
245489,2018-01-02 17:00:00,0.8,8.0,9.5,9,13,190,0.0,15000,45,8
245490,2018-01-02 18:00:00,0.4,9.3,10.3,10,11,150,0.0,20000,20,8
245491,2018-01-02 19:00:00,0.1,10.6,10.5,10,22,220,0.0,30000,40,7
245492,2018-01-02 20:00:00,0.2,8.9,8.2,8,34,250,0.0,35000,999,3
245493,2018-01-02 21:00:00,0.0,8.3,7.8,7,33,260,0.0,35000,40,7
