route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"60-116-d12-1","y102u","21454.y102u.60-116-d12-1.61.O","60-116-d12-1.61.O","Sussex Road - Church of Our Lady of Good Council","0"
"60-116-d12-1","y102u","21458.y102u.60-116-d12-1.62.I","60-116-d12-1.62.I","Church of Our Lady of Good Council - Parnell Square North","1"
"60-118-d12-1","y102u","21531.y102u.60-118-d12-1.63.I","60-118-d12-1.63.I","Enniskerry Road (Ballycorus Rd) - Eden Quay","1"
"60-11-b12-1","2","14702.2.60-11-b12-1.16.I","60-11-b12-1.16.I","Blackthorn Road - Saint Pappin's Road","1"
"60-11-b12-1","2","14703.2.60-11-b12-1.15.O","60-11-b12-1.15.O","Saint Pappin's Road - Blackthorn Drive (Blackthorn Road)","0"
"60-11-b12-1","2","14704.2.60-11-b12-1.16.I","60-11-b12-1.16.I","Blackthorn Road - Saint Pappin's Road","1"
"60-11-b12-1","2","14705.2.60-11-b12-1.15.O","60-11-b12-1.15.O","Saint Pappin's Road - Blackthorn Drive (Blackthorn Road)","0"
"60-11-b12-1","2","14706.2.60-11-b12-1.16.I","60-11-b12-1.16.I","Blackthorn Road - Saint Pappin's Road","1"
"60-11-b12-1","2","14707.2.60-11-b12-1.15.O","60-11-b12-1.15.O","Saint Pappin's Road - Blackthorn Drive (Blackthorn Road)","0"
"60-11-b12-1","2","14708.2.60-11-b12-1.16.I","60-11-b12-1.16.I","Blackthorn Road - Saint Pappin's Road","1"
"60-11-b12-1","2","14709.2.60-11-b12-1.15.O","60-11-b12-1.15.O","Saint Pappin's Road - Blackthorn Drive (Blackthorn Road)","0"
"60-11-b12-1","2","14710.2.60-11-b12-1.16.I","60-11-b12-1.16.I","Blackthorn Road - Saint Pappin's Road","1"
"60-11-b12-1","2","14711.2.60-11-b12-1.15.O","60-11-b12-1.15.O","Saint Pappin's Road - Blackthorn Drive (Blackthorn Road)","0"
"60-11-b12-1","2","14712.2.60-11-b12-1.16.I","60-11-b12-1.16.I","Blackthorn Road - Saint Pappin's Road","1"
"60-11-b12-1","2","14713.2.60-11-b12-1.15.O","60-11-b12-1.15.O","Saint Pappin's Road - Blackthorn Drive (Blackthorn Road)","0"
"60-11-b12-1","2","14714.2.60-11-b12-1.16.I","60-11-b12-1.16.I","Blackthorn Road - Saint Pappin's Road","1"
"60-11-b12-1","2","14715.2.60-11-b12-1.15.O","60-11-b12-1.15.O","Saint Pappin's Road - Blackthorn Drive (Blackthorn Road)","0"
"60-11-b12-1","2","14716.2.60-11-b12-1.16.I","60-11-b12-1.16.I","Blackthorn Road - Saint Pappin's Road","1"
"60-11-b12-1","2","14717.2.60-11-b12-1.15.O","60-11-b12-1.15.O","Saint Pappin's Road - Blackthorn Drive (Blackthorn Road)","0"
"60-11-b12-1","2","14718.2.60-11-b12-1.16.I","60-11-b12-1.16.I","Blackthorn Road - Saint Pappin's Road","1"
"60-11-b12-1","2","14719.2.60-11-b12-1.15.O","60-11-b12-1.15.O","Saint Pappin's Road - Blackthorn Drive (Blackthorn Road)","0"
"60-11-b12-1","2","14720.2.60-11-b12-1.16.I","60-11-b12-1.16.I","Blackthorn Road - Saint Pappin's Road","1"
"60-11-b12-1","2","14721.2.60-11-b12-1.15.O","60-11-b12-1.15.O","Saint Pappin's Road - Blackthorn Drive (Blackthorn Road)","0"
"60-11-b12-1","2","14722.2.60-11-b12-1.16.I","60-11-b12-1.16.I","Blackthorn Road - Saint Pappin's Road","1"
"60-11-b12-1","2","14723.2.60-11-b12-1.15.O","60-11-b12-1.15.O","Saint Pappin's Road - Blackthorn Drive (Blackthorn Road)","0"
"60-11-b12-1","2","14724.2.60-11-b12-1.16.I","60-11-b12-1.16.I","Blackthorn Road - Saint Pappin's Road","1"
"60-11-b12-1","2","14725.2.60-11-b12-1.14.O","60-11-b12-1.14.O","Saint Pappin's Road - Blackthorn Drive (Blackthorn Road)","0"
"60-11-b12-1","2","14726.2.60-11-b12-1.16.I","60-11-b12-1.16.I","Blackthorn Road - Saint Pappin's Road","1"
"60-11-b12-1","2","14727.2.60-11-b12-1.15.O","60-11-b12-1.15.O","Saint Pappin's Road - Blackthorn Drive (Blackthorn Road)","0"
