stopid,displaystopid,shortname,shortnamelocalized,fullname,fullnamelocalized,latitude,longitude,lastupdated,operator,op_type,routes
2,2,Parnell Square,Cearnóg Parnell,Parnell Square,,53.3522411111,-6.263695,08/06/2020 10:29:55,bac,1,"['38', '38A', '38D', '38B', '46A', '46E']"
3,3,Parnell Square,Cearnóg Parnell,Parnell Square,,53.3523069444,-6.2637830556,08/06/2020 10:29:55,bac,1,"['120', '122']"
4,4,Parnell Square,Cearnóg Parnell,Parnell Square,,53.3525669444,-6.2641661111,05/05/2020 09:26:05,bac,1,"['7', '7A', '7B', '7D', '9']"
6,6,Parnell Square,Cearnóg Parnell,Parnell Square,,53.35274389,-6.264443056,29/04/2020 07:44:08,bac,1,"['4', '155']"
7,7,Parnell Square,Cearnóg Parnell,Parnell Square,,53.35283611,-6.264561944,29/04/2020 07:44:09,bac,1,"['13', '140', '40', '40B', '40D']"
8,8,Parnell Square,Cearnóg Parnell,Parnell Square,,53.35328111,-6.265155,29/04/2020 07:44:09,bac,1,['16']
10,10,Parnell Square,Cearnóg Parnell,Parnell Square,,53.3533869444,-6.2653838889,08/06/2020 10:29:55,bac,1,"['16', '16C', '11', '1', '44']"
11,11,Dorset St,Sráid Dorset,Dorset St,,53.3570938889,-6.2643669444,08/06/2020 10:29:55,bac,1,"['40B', '40D', '40', '13']"
12,12,Dorset St,Sráid Dorset,Dorset St,,53.3567888889,-6.2646230556,08/06/2020 10:29:55,bac,1,"['11', '1', '122', '16', '44']"
14,14,Dorset St,Sráid Dorset,Dorset St,,53.3585369444,-6.2627238889,08/06/2020 10:29:55,bac,1,"['44', '40B', '40D', '40', '16', '122', '13', '1', '11']"
15,15,Dorset St,Sráid Dorset,Dorset St,,53.3602511111,-6.2609730556,08/06/2020 10:29:55,bac,1,"['11', '1', '13', '16', '33E', '33', '40', '40D', '40B', '41', '41B', '44', '41C', '41D']"
16,16,Nephin Road,Bóthar Néifinne,Nephin Road,,53.3664188889,-6.305635,08/06/2020 10:29:55,bac,1,['122']
17,17,Drumcondra Rd,Br Dhroim Conrach,Drumcondra Rd,,53.3630669444,-6.2583980556,08/06/2020 10:29:55,bac,1,"['13', '1', '11', '16', '33E', '33', '41C', '41D', '44', '41B', '41']"
18,18,Drumcondra Rd,Br Dhroim Conrach,Drumcondra Rd,,53.3658488889,-6.2559311111,08/06/2020 10:29:55,bac,1,"['41', '41B', '44', '41D', '41C', '33', '33E', '16', '11', '1', '13']"
19,19,Drumcondra Rd,Br Dhroim Conrach,Drumcondra Rd,,53.3671380556,-6.2554930556,08/06/2020 10:29:55,bac,1,"['13', '1', '11', '16', '33E', '33', '41C', '41D', '44', '41B', '41']"
21,21,Drumcondra Rd,Br Dhroim Conrach,Drumcondra Rd,,53.3700919444,-6.2542911111,08/06/2020 10:29:55,bac,1,"['41B', '41', '44', '41D', '41C', '33E', '33', '16', '11', '1', '13']"
22,22,Home Farm Road,Bóthar na Buaile,Home Farm Road,,53.3735669444,-6.2528480556,08/06/2020 10:29:55,bac,1,['11']
23,23,Home Farm Road,Bóthar na Buaile,Home Farm Road,,53.3742880556,-6.25627,08/06/2020 10:29:55,bac,1,['11']
24,24,Home Farm Road,Bóthar na Buaile,Home Farm Road,,53.3751530556,-6.2603261111,08/06/2020 10:29:55,bac,1,['11']
25,25,Home Farm Road,Bóthar na Buaile,Home Farm Road,,53.3759030556,-6.2636111111,08/06/2020 10:29:55,bac,1,['11']
27,27,Ballymun Road,Bóthar Bhaile Munna,Ballymun Road,,53.3794380556,-6.266575,08/06/2020 10:29:55,bac,1,"['11', '13', '155', '4', '9']"
28,28,Ballymun Road,Bóthar Bhaile Munna,Ballymun Road,,53.381575,-6.2659888889,08/06/2020 10:29:55,bac,1,"['9', '4', '155', '13', '11']"
29,29,Ballymun Road,Bóthar Bhaile Munna,Ballymun Road,,53.3834838889,-6.2656630556,08/06/2020 10:29:55,bac,1,"['11', '13', '155', '4', '9']"
30,30,Ventry Park,Páirc Fhionntrá,Ventry Park,,53.3703211111,-6.3045780556,08/06/2020 10:29:55,bac,1,"['120', '40E']"
31,31,St. Pappin's Road,Bóthar Phapáin,St. Pappin's Road,,53.38607,-6.268805,08/06/2020 10:29:55,bac,1,['11']
32,32,St. Pappin's Road,Bóthar Phapáin,St. Pappin's Road,,53.3861930556,-6.27137,08/06/2020 10:29:55,bac,1,['11']
33,33,Glasnevin Drive,Céide Ghlas Naí­on,Glasnevin Drive,,53.3887530556,-6.2717511111,05/05/2020 09:26:05,bac,1,['11']
35,35,St. Pappin's Road,Bóthar Phapáin,St. Pappin's Road,,53.3862080556,-6.2709080556,05/05/2020 09:26:05,bac,1,['11']
36,36,St. Pappin's Road,Bóthar Phapáin,St. Pappin's Road,,53.3861230556,-6.2678719444,05/05/2020 09:26:05,bac,1,['11']
37,37,Ballymun Road,Bóthar Bhaile Munna,Ballymun Road,,53.3853469444,-6.2648788889,05/05/2020 09:26:05,bac,1,"['11', '13', '155', '4', '9']"
38,38,Ballymun Road,Bóthar Bhaile Munna,Ballymun Road,,53.3822388889,-6.2655,05/05/2020 09:26:05,bac,1,"['9', '4', '155', '13', '11']"
39,39,Ballymun Road,Bóthar Bhaile Munna,Ballymun Road,,53.3804161111,-6.2656488889,05/05/2020 09:26:05,bac,1,"['11', '13', '155', '4', '9']"
40,40,Mobhi Road,Bóthar Mobhí­,Mobhi Road,,53.3766619444,-6.2646630556,05/05/2020 09:26:05,bac,1,"['9', '4', '155', '11']"
41,41,Home Farm Road,Bóthar na Buaile,Home Farm Road,,53.3755561111,-6.26184,05/05/2020 09:26:05,bac,1,['11']
42,42,Home Farm Road,Bóthar na Buaile,Home Farm Road,,53.3746538889,-6.2574388889,05/05/2020 09:26:05,bac,1,['11']
43,43,Home Farm Road,Bóthar na Buaile,Home Farm Road,,53.3738611111,-6.2538730556,05/05/2020 09:26:05,bac,1,['11']
44,44,Drumcondra Rd,Br Dhroim Conrach,Drumcondra Rd,,53.3730161111,-6.25211,05/05/2020 09:26:05,bac,1,"['11', '1', '13', '16C', '16', '16D', '33', '41B', '41', '41C', '41D', '44']"
45,45,Drumcondra Rd,Br Dhroim Conrach,Drumcondra Rd,,53.3698811111,-6.2541330556,05/05/2020 09:26:05,bac,1,"['41C', '41D', '41', '41B', '44', '33', '16D', '16C', '16', '13', '11', '1']"
46,46,Drumcondra Rd,Br Dhroim Conrach,Drumcondra Rd,,53.3671469444,-6.2553588889,05/05/2020 09:26:05,bac,1,"['1', '11', '13', '16', '16C', '16D', '33', '44', '41B', '41', '41D', '41C']"
47,47,Drumcondra Rd,Br Dhroim Conrach,Drumcondra Rd,,53.3639088889,-6.2572761111,05/05/2020 09:26:05,bac,1,"['41C', '41D', '41', '41B', '44', '33', '16D', '16C', '16', '13', '11', '1']"
48,48,Drumcondra Rd,Br Dhroim Conrach,Drumcondra Rd,,53.3623219444,-6.2587638889,05/05/2020 09:26:05,bac,1,"['1', '11', '13', '16', '16C', '16D', '33', '44', '41B', '41', '41D', '41C']"
49,49,Dorset St,Sráid Dorset,Dorset St,,53.359955,-6.260865,29/04/2020 07:44:08,bac,1,"['41D', '41C', '40', '41', '41B', '40D', '40B', '44', '33', '16D', '16C', '16', '13', '11', '1']"
51,51,Dorset St,Sráid Dorset,Dorset St,,53.35781611,-6.263266111,29/04/2020 07:44:08,bac,1,"['1', '11', '122', '13', '16', '16C', '16D', '33', '40B', '40', '40D', '41B', '41', '41C', '41D', '44']"
52,52,Dorset St,Sráid Dorset,Dorset St,,53.356645,-6.264533889,29/04/2020 07:44:08,bac,1,"['44', '41D', '41C', '41', '41B', '40D', '40', '40B', '33', '16D', '16', '16C', '13', '122', '11', '1']"
53,53,North Circular Road,An Cuarbhóthar Tdh,North Circular Road,,53.35998611,-6.26282,29/04/2020 07:44:08,bac,1,['122']
54,54,North Circular Road,An Cuarbhóthar Tdh,North Circular Road,,53.36014889,-6.265556944,29/04/2020 07:44:08,bac,1,['122']
55,55,North Circular Road,An Cuarbhóthar Tdh,North Circular Road,,53.36041,-6.268455,29/04/2020 07:44:08,bac,1,['122']
56,56,Cabra Road,Bóthar na Cabraí,Cabra Road,,53.36075889,-6.27645,29/04/2020 07:44:08,bac,1,"['122', '120']"
57,57,Cabra Road,Bóthar na Cabraí,Cabra Road,,53.36076694,-6.276603889,29/04/2020 07:44:08,bac,1,"['38', '38D', '38B', '38A']"
58,58,Cabra Road,Bóthar na Cabraí,Cabra Road,,53.36093694,-6.281186111,29/04/2020 07:44:08,bac,1,"['38A', '38B', '38D', '38', '120', '122']"
59,59,Cabra Road,Bóthar na Cabraí,Cabra Road,,53.36107611,-6.28487,29/04/2020 07:44:08,bac,1,"['122', '38', '38D', '38B', '38A']"
60,60,Cabra Road,Bóthar na Cabraí,Cabra Road,,53.361235,-6.289248889,29/04/2020 07:44:08,bac,1,"['38A', '38B', '38D', '38', '122']"
63,63,Faussagh Avenue,Ascaill an Fhásaigh,Faussagh Avenue,,53.36678806,-6.292728889,29/04/2020 07:44:09,bac,1,['122']
64,64,Faussagh Avenue,Ascaill an Fhásaigh,Faussagh Avenue,,53.36708111,-6.295213056,29/04/2020 07:44:09,bac,1,['122']
65,65,Faussagh Avenue,Ascaill an Fhásaigh,Faussagh Avenue,,53.36724611,-6.298033056,29/04/2020 07:44:09,bac,1,['122']
66,66,Faussagh Avenue,Ascaill an Fhásaigh,Faussagh Avenue,,53.367295,-6.300863889,29/04/2020 07:44:09,bac,1,['122']
68,68,Ventry Drive,Céide Fhionntrá,Ventry Drive,,53.36907,-6.304223056,29/04/2020 07:44:09,bac,1,"['120', '40E']"
69,69,Carnlough Road,Bóthar Charnlaigh,Carnlough Road,,53.37138306,-6.30332,29/04/2020 07:44:09,bac,1,"['40E', '120']"
71,71,Ventry Park,Páirc Fhionntrá,Ventry Park,,53.37025111,-6.304416944,29/04/2020 07:44:09,bac,1,"['120', '40E']"
72,72,Ventry Drive,Céide Fhionntrá,Ventry Drive,,53.36896111,-6.304241111,29/04/2020 07:44:09,bac,1,"['40E', '120']"
73,73,Faussagh Avenue,Ascaill an Fhásaigh,Faussagh Avenue,,53.36738694,-6.300705,29/04/2020 07:44:09,bac,1,['122']
74,74,Faussagh Avenue,Ascaill an Fhásaigh,Faussagh Avenue,,53.36716694,-6.295448056,29/04/2020 07:44:09,bac,1,['122']
75,75,Faussagh Avenue,Ascaill an Fhásaigh,Faussagh Avenue,,53.36653694,-6.291296944,29/04/2020 07:44:09,bac,1,['120']
77,77,Cabra Road,Bóthar na Cabraí,Cabra Road,,53.361305,-6.289556111,29/04/2020 07:44:09,bac,1,"['122', '38D', '38B', '38', '38A']"
78,78,Cabra Road,Bóthar na Cabraí,Cabra Road,,53.36113111,-6.283971944,29/04/2020 07:44:09,bac,1,"['38A', '38', '38B', '38D', '122']"
79,79,Cabra Road,Bóthar na Cabraí,Cabra Road,,53.36101389,-6.280786111,29/04/2020 07:44:09,bac,1,"['122', '120', '38B', '38D', '38', '38A']"
